Name,Lat,Lon
全家桃園莊園店站A,25.021224,121.29
全聯台南仁和店站A,22.973544,120.231809
臺鐵竹東車站B,24.738096,121.09501
中油鼎山路加油站,22.657292,120.321817
八百屋保泰店站B,22.60272,120.334217
台亞林口中山加油站,25.083753,121.37737
高雄市北昌路停車場站A,22.64624,120.37233
臺中市政府衛生局站D,24.248109,120.715438
全聯仁德中清店站A,22.97347,120.256143
Gogoro 三民鼎強服務中心站,22.665479,120.320709
家樂福中華店站,23.008413,120.230297
新北市義學立體停車場站,25.049748,121.427022
宏佳騰高雄民族店站C,22.668763,120.317654
Gogoro 北屯中清門市站,24.182787,120.665892
中油九曲堂加油站,22.642524,120.417654
淡江大學五虎崗停車場站A,25.174755,121.453179
中油百鼎加油站,25.06017,121.207722
7-ELEVEN 林田山店站,23.713961,121.422372
臺中市育樂停車場站B,24.157504,120.692153
新北市忠孝高架橋下重安段停車場站,25.057287,121.49088
宏佳騰中壢中山東店站A,24.944236,121.248268
中油美得潭子加油站,24.197028,120.702444
Gogoro 嘉義興業東門市站,23.469319,120.454614
彰化市公有第一停車場站C,24.081874,120.543177
7-ELEVEN 彰泳店站A,24.092229,120.542665
臺中市中山地政事務所站A,24.136714,120.673757
全家竹山大頂店站,23.749534,120.68257
啄木鳥藥局大里店站,24.097232,120.68705
台南市北區北安路一段212巷停車場站A,23.019032,120.208307
中油水里加油站,23.808607,120.857986
全家鳳山頂庄店站B,22.588122,120.363062
臺北市民權公園站B,25.062066,121.558738
長興里民活動中心站,25.094912,121.7179
中油永交加油站,23.042525,120.2476
Gogoro 楠梓德惠門市站,22.725814,120.302689
中油成功路加油站,22.998013,120.209382
中華電信桃園服務中心站A,24.989354,121.310081
臺中市大鵬臨時停車場站B,24.175641,120.666134
新北市樹林三多路站B,25.006804,121.415294
全家竹北環北店站,24.847672,120.995746
台北捷運新北投站B,25.136804,121.502281
全聯白河國泰店站,23.348053,120.412931
全聯岡山大仁北店站A,22.794766,120.30259
全家高雄鼓山店站,22.632685,120.28236
奇美醫院第五停車場站A,23.019766,120.21744
全家內門羅漢門店站,22.9233,120.454139
臺中市廣停停車場站B,24.154802,120.666319
中油大灣加油站,22.998413,120.248888
高雄市武廟停車場站A,22.628812,120.332576
宜舍土城金城站,24.979824,121.452947
台北捷運昆陽站A,25.050816,121.594706
中華電信平鎮服務中心站B,24.940893,121.219487
7-ELEVEN 瓏埔店站,23.034232,120.263524
中油李斯特加油站,23.697177,120.460651
新北市鷺江立體停車場站B,25.086104,121.47724
樹林彭厝市民活動中心站A,24.979906,121.422281
統一速邁樂國際一加油站B,24.970546,121.290897
大魯閣棒壘球打擊練習場中壢館站,24.957432,121.249674
基隆市就業中心六堵分站,25.08768,121.703273
U-POWER 新竹東區慈祥站A,24.793903,121.008885
HiLife 中壢壢榮店站B,24.958801,121.26062
HiLife 神岡庄前店站B,24.251219,120.657299
7-ELEVEN 欣樂店站B,24.871887,120.986341
全聯中正延平店站,25.033729,121.507479
第一銀行重慶北路站B,25.060465,121.513787
全家楊梅金山店站A,24.912707,121.16225
新北市深坑國小站A,25.001773,121.616164
中油台大加油站,24.824812,121.032016
新北市中和四號公園站B,24.999458,121.511751
全聯宜蘭三清店站B,24.755808,121.746614
中油中新加油站,25.017071,121.126583
全聯旗津中洲店站,22.58625,120.288963
臺鐵臺北貨運所南樹林車站B,24.980542,121.409936
山隆興隆加油站B,25.044862,121.469563
新北市五股德音國小站A,25.072133,121.435545
全聯仁武水管店站A,22.704784,120.353973
新北市中山公園站A,25.023065,121.471333
中油苗交加油站,24.528198,120.819161
台糖大林加油站,23.59673,120.459967
臺北市樹德公園站D,25.067156,121.51777
全聯草屯碧山店站,23.97285,120.654374
全家高雄蓮潭店站C,22.6883,120.297703
全家新竹濱海店站,24.813135,120.922549
大寮區公所站B,22.605393,120.395903
高雄市北昌路停車場站B,22.64624,120.37273
德和里民活動中心站,25.146298,121.726911
UNIQLO 彰化中央路店站,24.066731,120.528268
全聯小港平和店站A,22.563049,120.334904
嘉義市北社尾公園站,23.493193,120.425401
臺北市龍門國中站B,25.023654,121.538359
7-ELEVEN 岩昇店站,24.930659,121.409844
家樂福新屏店站A,22.663359,120.48905
臺中市潭子區聯合辦公大樓站,24.20389,120.723014
中油石門加油站,25.291225,121.561419
欣桃天然氣站,24.992555,121.296274
Gogoro 啟信車業社區店站,25.156003,121.696035
高雄市八卦里停車場站D,22.68296,120.333301
特力屋高雄大順店站C,22.631806,120.32462
新北市第八平面停車場站,24.985971,121.414489
新北市台65高架橋下停車場站,25.049127,121.442167
臺北市榮星公園站C,25.062499,121.540624
實踐大學站A,25.082978,121.545146
金弘笙新竹竹北店站A,24.817665,121.020501
台北捷運奇岩站A,25.126889,121.500708
臺中市文修停車場站A,24.185249,120.642253
臺中市外埔區公所旁停車場站A,24.332264,120.654734
中油挖仔加油站,23.95325,120.43538
全家羅東北城店站B,24.677933,121.7603
7-ELEVEN 亮亞店站A,25.020779,121.2578
嘉義縣政府站,23.460568,120.289044
7-ELEVEN 三聖店站B,22.921451,120.182279
北園路停車場站A,23.013201,120.224622
松山工農地下停車場B1F站,25.039046,121.572504
7-ELEVEN 小腳腿店站,23.285375,120.36573
特力屋屏東店站A,22.660723,120.510095
HiLife 台南南都店站B,22.966991,120.192859
全聯竹南光復店站A,24.688425,120.877728
Gogoro 板橋廣權交車中心站,24.990996,121.460446
台糖六甲加油站,22.946757,120.277398
全聯台南鹽水店站,23.319948,120.271911
桃園市宏昌六街停車場站B,24.98711,121.292214
振宇五金鳳山店站B,22.641962,120.356396
家樂福彰化店站A,24.094564,120.542475
全聯草屯中正店站,23.978631,120.698571
碇安里民活動中心站,25.10004,121.755647
Gogoro 仁武仁雄門市站,22.680604,120.350645
Nova 資訊廣場中壢店站,24.95571,121.215123
全家新城民益店站,24.007066,121.613985
宏佳騰中和中山店站,25.005133,121.504753
北基金獅加油站A,22.663045,120.322342
UNIQLO 蘆洲長榮路店站C,25.085902,121.460362
高雄市金山停車場站C,22.661907,120.319561
臺中市東區十甲里等三里多功能聯合活動中心站A,24.141273,120.704237
新北市新莊黃城公園站A,25.052719,121.448691
中油前鎮漁港油氣加油站,22.578522,120.318642
Gogoro 永康永大服務中心站,23.006345,120.261567
HiLife 太平光德店站,24.108111,120.724921
YAMAHA 台南中華店站A,23.023331,120.218314
全家台東金塊店站A,22.75607,121.154601
7-ELEVEN 湳港店站A,23.917418,120.54623
全聯斗六西平店站,23.712018,120.535376
中油光美加油站,24.738554,120.904366
全聯蘆竹山腳店站B,25.08816,121.28774
中油辰鴻加油站,24.772095,121.009752
全聯烏日長春店站A,24.107936,120.634916
臺北市國家兩廳院站A,25.038293,121.518244
中油長治加油站,22.692277,120.538653
台糖民族三加油站,22.701564,120.323873
全家太平新豐年店站A,24.141833,120.724601
宏佳騰嘉義興業西店站,23.468395,120.44584
7-ELEVEN 康平店站,22.987315,120.16821
18事紀館紅樓站A,22.687801,120.322894
全家台南仁德仁紡店站B,22.963297,120.253767
7-ELEVEN 聖華店站,24.84112,120.93236
7-ELEVEN 伸濱店站,24.151623,120.486921
Gogoro 中山松江服務中心站,25.066903,121.533086
全聯竹南龍山店站A,24.694077,120.867606
福懋大甲加油站,24.35081,120.62767
第一銀行大稻埕分行站A,25.055861,121.510055
台南市永康區復興路停車場站B,22.999003,120.244759
全聯沙鹿屏西店站A,24.217631,120.570761
Gogoro 竹北中正東門市站,24.835189,121.015323
台北捷運唭哩岸站A,25.120877,121.505252
全聯中壢福州店站,24.965527,121.232675
新竹南寮市場站,24.841372,120.936306
7-ELEVEN 立揚店站,24.995533,121.295373
國立臺中教育大學站C,24.144806,120.671203
全家台南三喜店站B,22.941226,120.178786
中油中正加油站,22.685544,120.494808
台北捷運新北投站A,25.136804,121.501881
全家台中金太平店站A,24.148675,120.682632
台南市南區大成路一段停車場站A,22.974872,120.200407
全聯虎尾林森店站B,23.699026,120.42458
全家台中龍富店站A,24.140802,120.626019
高雄市鼓山青海路站D,22.65109,120.290225
Gogoro 高雄岡山店站,22.789816,120.296495
全家太平建興店站A,24.127304,120.726768
7-ELEVEN 華電店站A,25.027565,121.553581
中油五股工業區加油站,25.064244,121.456264
台亞堤頂交流道加油站B,25.069112,121.575301
全家台中新文山店站B,24.148642,120.612285
新北市新莊頭前運動公園站B,25.052311,121.463294
臺北市文山運動中心站B,24.997193,121.559912
臺北市立圖書館西湖分館站C,25.078968,121.578364
啄木鳥藥局屏東店站,22.66709,120.498383
全家東港東光店站A,22.467423,120.459232
新北市永和上林里站A,25.015314,121.52074
全家台東金塊店站B,22.75607,121.155001
中油領航加油站,22.024124,120.743497
新北市淺水灣海濱公園站,25.252216,121.47138
新竹市西雅公園站A,24.799444,120.957235
中油明德195加油站,24.27479,120.77195
小北百貨台南鹽行店站,23.041825,120.243435
臺北市健康公宅站B,25.054337,121.565625
新光草衙道站A,22.581873,120.328726
美廉社林園沿海店站,22.503203,120.380319
全家八德德富店站,24.960508,121.278871
台塑新港廠區站,23.522398,120.382123
中油坤業大園加油站,25.07344,121.260005
台糖惠生加油站,23.459837,120.19886
臺北市網球中心站C,25.067603,121.597794
中油北興加油站,23.491936,120.433131
中油冠遠加油站,23.849342,120.66509
7-ELEVEN 成豐店站,24.960544,121.227482
7-ELEVEN 宣宏店站B,24.690715,121.764562
新北市中和四號公園站A,24.999458,121.511351
新北市新莊頭前運動公園站A,25.052311,121.462894
中油大村加油站,23.991739,120.550217
台南市東區立德停車場站B,22.976533,120.215056
愛買板橋南雅店站A,25.001697,121.456361
新北市玫瑰中正路停車場站B,25.024427,121.454911
更生保護會基隆路站C,25.027044,121.556113
新北市三峽國小地下停車場站,24.934933,121.367467
全家台中上安店站,24.17141,120.639909
米格國際站,24.946372,121.289083
Gogoro 高雄大昌門市站B,22.650102,120.332198
7-ELEVEN 金沅店站B,24.904865,121.230976
山隆重慶加油站B,23.971611,121.608669
中油泰源加油站,23.004132,121.286858
臺北市光復民權站A,25.061077,121.55465
814生鮮超市高雄大社店站C,22.732159,120.344708
中油虎尾新生路加油站,23.707167,120.436238
俥亭停車場高鐵路站,22.6875,120.31016
中油東大加油站,24.182703,120.601056
車麗屋新竹中華店站,24.814029,120.991031
全聯左營文康店站C,22.67304,120.30394
小北百貨三多店站,22.621467,120.328157
板橋八德公園站A,25.025362,121.47703
中油花蓮中山路加油站,23.995763,121.594881
全聯羅東中正店站B,24.669795,121.772159
富山苗栗中山路停車場站A,24.560594,120.82156
全家大里金大發店站,24.09516,120.706585
全聯湖內保生店站,22.907039,120.219447
中油新崎加油站,24.890923,121.040601
中油竹苗加油站,24.71523,120.92155
Gogoro 屏東民族門市站D,22.670559,120.486536
享溫馨KTV 巨蛋店站A,22.66381,120.303008
7-ELEVEN 員慶店站,23.941926,120.600403
Gogoro 嘉義中山店站A,23.479525,120.444464
7-ELEVEN 新墘店站,23.082247,120.299482
中油中華加油站,24.22821,120.54614
中油十興加油站,24.816675,121.032684
7-ELEVEN 鑫工和店站A,24.176291,120.589751
寶家台中中清店站C,24.171422,120.672509
全聯烏日環河店站A,24.10698,120.59967
苗栗福利站B,24.54233,120.81744
全聯台中大鵬店站A,24.177976,120.663308
7-ELEVEN 明城店站,23.855759,120.32192
7-ELEVEN 祥佑店站B,25.013328,121.293619
