Name,Lat,Lon
2-Unit Cosmed Pharmacy 康是美鳳揚藥局店站,22.64083,120.35063
2-Unit Cosmed Pharmacy 康是美龍安藥局店站,24.990356,121.279875
2-Unit Cosmed 康是美富強門市站,24.966581,121.257309
2-Unit Culture Center 高雄市文化中心站,22.625839,120.319454
2-Unit Culture Center 臺中市港區藝術中心站,24.269443,120.557799
2-Unit Culture YAMAHA 楊梅文化店站,24.916041,121.185162
2-Unit Culture 日月亭林口文化站,25.060729,121.362908
2-Unit Culture 嘉義市文化局站,23.487879,120.451794
2-Unit eMOVING 金城民族店站,24.429465,118.315634
2-Unit eReady 台中旗艦店站,24.161347,120.692405
2-Unit eReady 新莊思源店站,25.047207,121.459666
2-Unit EVOASIS 北屯山西站,24.18532,120.69057
2-Unit Family-Mart 全家八德仁興店站,24.936646,121.288121
2-Unit Family-Mart 全家八德豐吉店站,24.926976,121.289841
2-Unit Family-Mart 全家八德櫻花店站,24.949073,121.319223
2-Unit Family-Mart 全家大里大金店站,24.090151,120.690631
2-Unit Family-Mart 全家大里成功店站,24.092044,120.703372
2-Unit Family-Mart 全家大里金城店站,24.087664,120.705363
2-Unit Family-Mart 全家大里新光店站,24.109505,120.691908
2-Unit Family-Mart 全家中壢玉龍店站,24.936985,121.23285
2-Unit Family-Mart 全家中壢米干店站,24.93061,121.254516
2-Unit Family-Mart 全家中壢青埔店站,25.00731,121.20221
2-Unit Family-Mart 全家仁德二仁店站,22.918108,120.224626
2-Unit Family-Mart 全家仁德二空店站,22.958014,120.227734
2-Unit Family-Mart 全家太平金城店站,24.159181,120.712989
2-Unit Family-Mart 全家太平建興店站,24.127304,120.726768
2-Unit Family-Mart 全家太平普拉斯店站,24.154344,120.733365
2-Unit Family-Mart 全家太平新興中店站,24.13053,120.720918
2-Unit Family-Mart 全家太平新豐年店站,24.141833,120.724601
2-Unit Family-Mart 全家太平溪洲店站,24.141637,120.716692
2-Unit Family-Mart 全家斗六斗金店站,23.70102,120.534544
2-Unit Family-Mart 全家斗六保明店站,23.705509,120.528557
2-Unit Family-Mart 全家台中太陽店站,24.16486,120.66766
2-Unit Family-Mart 全家台中太順店站,24.158464,120.724957
2-Unit Family-Mart 全家台中金工店站,24.171507,120.612677
2-Unit Family-Mart 全家台中金太平店站,24.148675,120.682632
2-Unit Family-Mart 全家台中金原店站,24.165089,120.692277
2-Unit Family-Mart 全家台中新文山店站,24.148642,120.611885
2-Unit Family-Mart 全家台中萬代福店站,24.146474,120.679971
2-Unit Family-Mart 全家台中睿景店站,24.16482,120.711821
2-Unit Family-Mart 全家台中龍富二店站,24.148893,120.626345
2-Unit Family-Mart 全家台中龍富店站,24.140802,120.626019
2-Unit Family-Mart 全家台東金塊店站,22.75607,121.154601
2-Unit Family-Mart 全家台東新生店站,22.760306,121.138993
2-Unit Family-Mart 全家台南三喜店站,22.941226,120.178386
2-Unit Family-Mart 全家台南仁德仁紡店站,22.963297,120.253367
2-Unit Family-Mart 全家台南府南店站,22.971857,120.192941
2-Unit Family-Mart 全家台南長安店站,23.069613,120.222806
2-Unit Family-Mart 全家台南長順店站,23.002342,120.204614
2-Unit Family-Mart 全家台南新夏店站,22.978014,120.195089
2-Unit Family-Mart 全家平鎮富民店站,24.952979,121.203087
2-Unit Family-Mart 全家永康勝華店站,23.00829,120.231085
2-Unit Family-Mart 全家永康廣興店站,23.020547,120.27657
2-Unit Family-Mart 全家永康鹽洲店站,23.042177,120.232072
2-Unit Family-Mart 全家后里新中興店站,24.309226,120.726385
2-Unit Family-Mart 全家安定善高店站,23.124897,120.250975
